GSM_ID,Factor,Biosource,GIGGLE_score
ENCSR067XTW_3,FOSL2,A549;Epithelium;Lung,986.3690595915825
ENCSR563GCV_3,FOSL2,A549;Epithelium;Lung,984.6134506502568
ENCSR111ZXV_3,FOSL2,A549;Epithelium;Lung,983.2975343445654
GSM2977012,PRMT1,Keratinocyte,982.5969841024745
ENCSR274WRI_2,FOSL2,A549;Epithelium;Lung,981.3466143660456
ENCSR535HFQ_3,FOSL2,A549;Epithelium;Lung,981.1188918071726
ENCSR242EWU_3,FOSL2,A549;Epithelium;Lung,979.2778453891796
ENCSR563GCV_1,FOSL2,A549;Epithelium;Lung,979.25373519171
ENCSR103UVU_1,FOSL2,A549;Epithelium;Lung,979.09012948456
ENCSR103UVU_2,FOSL2,A549;Epithelium;Lung,978.4508837028461
ENCSR775UFR_3,FOSL2,A549;Epithelium;Lung,977.3903842597801
ENCSR330IJE_2,FOSL2,A549;Epithelium;Lung,976.8849973598891
GSM1667162,TEAD4,HuCCT1,976.2287329066704
ENCSR242EWU_1,FOSL2,A549;Epithelium;Lung,968.3015438278943
ENCSR274WRI_3,FOSL2,A549;Epithelium;Lung,967.6116436341307
ENCSR535HFQ_2,FOSL2,A549;Epithelium;Lung,966.6662501994099
ENCSR111ZXV_1,FOSL2,A549;Epithelium;Lung,966.27718444757
ENCSR900RUE_2,FOSL2,A549;Epithelium;Lung,965.0952116840625
GSM2042914,JUND,HT29;colorectal adenocarcinoma,965.0145994793459
ENCSR563GCV_2,FOSL2,A549;Epithelium;Lung,962.0678770343571
GSM1614029,YAP1,MDA-MB-231;Epithelium;Breast,959.713747089171
GSM2419823,RELA,Detroit 562;Detroit 562 cells,959.6058199773292
ENCSR067XTW_1,FOSL2,A549;Epithelium;Lung,959.5898226423619
GSM1010768,FOSL2,MCF-7;Epithelium;Breast,958.1259982595468
GSM1700786,JUN,MDA-MB-231;Epithelium;Breast,955.0602150164723
GSM2419820,RELA,Detroit 562;Detroit 562 cells,954.7213076443843
GSM2278010,STAT3,HCC1143,954.4808510753436
GSM1122848,FAIRE,Epithelium;Mammary Gland,953.173207903472
GSM1246719,SMAD4,NCI-H441;Epithelium;Lung,949.0240433576483
GSM2042860,PPARG,HT29;colorectal adenocarcinoma,948.8678303097998
GSM1574273,ELF3,CFPAC-1;Pancreatic ductal,948.2130333895873
GSM1919986,ELF3,CFPAC-1;Pancreatic ductal,945.9650444062765
GSM1964895,PRMT5,MDA-MB-231;Epithelium;Breast,945.4860219847235
GSM1700784,JUN,MDA-MB-231;Epithelium;Breast,943.4533449874112
GSM2635310,FOSL1,143B;Osteosarcoma cell,942.3514832473645
GSM2042856,PPARG,HT29;colorectal adenocarcinoma,941.1283469020514
GSM1667161,TEAD1,HuCCT1,941.0296653150873
GSM2042843,NR1H2,HT29;colorectal adenocarcinoma,939.0578389284548
GSM2042913,JUND,HT29;colorectal adenocarcinoma,938.3708772422071
GSM1700785,JUN,MDA-MB-231;Epithelium;Breast,937.5630908857192
GSM1919984,ELF3,CFPAC-1;Pancreatic ductal,936.722756783011
GSM1489263,TP63,HaCaT;Keratinocyte,936.0909916225281
GSM2746542,RELA,SW480;Colon,933.9297632983314
ENCSR686BQM_2,EP300,A549;Epithelium;Lung,932.0797907012164
GSM2042844,NR1H2,HT29;colorectal adenocarcinoma,932.042600445365
GSM1614031,WWTR1,MDA-MB-231;Epithelium;Breast,931.4231952580765
ENCSR260WCE_2,EP300,A549;Epithelium;Lung,930.0614475734056
GSM2042850,NR1H3,HT29;colorectal adenocarcinoma,929.0241309351155
GSM1614028,YAP1,MDA-MB-231;Epithelium;Breast,928.3465235194425
GSM983105,FOXA1,NCI-H3122;Lung,928.1876424305258
GSM2042848,NR1H3,HT29;colorectal adenocarcinoma,926.9265757843684
GSM1208724,DLX2,LoVo;Colon,925.377474570087
GSM748524,FAIRE,NHEK;Keratinocyte;Skin,924.1158890912441
GSM1208736,ETV5,LoVo;Colon,923.4616332345068
GSM1678030,DAXX,PC-3;Epithelium;Prostate,923.2175942473566
GSM2419831,RELA,Detroit 562;Detroit 562 cells,921.6733912169069
GSM1614030,WWTR1,MDA-MB-231;Epithelium;Breast,921.388448467286
GSM2042842,NR1H2,HT29;colorectal adenocarcinoma,920.8773062678746
ENCSR979IOT_2,HES2,A549;Epithelium;Lung,917.2480049785308
GSM929914,PGBD3,Fibroblast,916.6535339819421
GSM2042858,PPARG,HT29;colorectal adenocarcinoma,916.3476763842897
GSM2042854,PPARG,HT29;colorectal adenocarcinoma,916.1395124982993
GSM2277157,HNF4G,LNCaP;Epithelium;Prostate,914.8395588620028
GSM927071,ERG,RWPE1;Epithelium;Prostate,914.8359340300498
GSM1125983,GRHL2,Epithelium;Bronchia,914.5959807305113
GSM1678029,DAXX,PC-3;Epithelium;Prostate,913.623106290319
GSM1246714,SMAD3,NCI-H441;Epithelium;Lung,913.0026741253286
ENCSR546KCN_2,FOSL2,MCF-7;Epithelium;Breast,912.8804394982252
GSM935317,FOS,HeLa-S3;Epithelium;Cervix,912.5579449297136
ENCSR911KBJ_1,HES2,A549;Epithelium;Lung,912.1006057106433
GSM1010748,FOSL2,A549;Epithelium;Lung,911.6488593400063
GSM935341,JUN,HeLa-S3;Epithelium;Cervix,911.0087541914007
GSM2042845,NR1H2,HT29;colorectal adenocarcinoma,909.9180912654774
ENCSR911KBJ_3,HES2,A549;Epithelium;Lung,909.528738293294
GSM1614034,TEAD4,MDA-MB-231;Epithelium;Breast,909.1781748629165
GSM1125984,GRHL2,Epithelium;Bronchia,907.4048918166264
ENCSR854MCV_2,IRF1,K562;Erythroblast;Bone Marrow,906.6683169055856
GSM2752894,STAT3,H358;Lung,906.1021471265742
GSM1208675,ZFAT,LoVo;Colon,906.0691066965223
ENCSR796VBR_3,HES2,A549;Epithelium;Lung,905.6273783668979
GSM1917770,ATF3,HCT-116;Colon cancer cell;Colon,905.4256863965193
GSM1089819,MBD3,MDA-231;Epithelium;Mammary Gland,904.4484910035303
ENCSR841ASB_3,EP300,A549;Epithelium;Lung,904.0190040704385
GSM935555,PRDM1,HeLa-S3;Epithelium;Cervix,902.696479835268
GSM1645718,EP300,Keratinocyte,901.5089397331703
GSM934615,SMAD3,LX2;Hepatic Stellate Cell,901.3769215339764
ENCSR964KSS_2,HES2,A549;Epithelium;Lung,901.3433826337623
GSM1614035,TEAD4,MDA-MB-231;Epithelium;Breast,900.9683555298333
GSM1141538,REPIN1,DLD-1;Epithelium;Colon,900.8369990969632
ENCSR078POK_1,HES2,A549;Epithelium;Lung,900.6381732128038
GSM1574274,FOXA1,CFPAC-1;Pancreatic ductal,898.8252080848487
ENCSR260WCE_3,EP300,A549;Epithelium;Lung,897.9006273696559
GSM2042852,NR1H3,HT29;colorectal adenocarcinoma,896.4173689273836
GSM2042899,POLR2A,HT29;colorectal adenocarcinoma,895.7020954688428
ENCSR467VXG_1,EP300,A549;Epithelium;Lung,894.6821414731257
ENCSR078POK_2,HES2,A549;Epithelium;Lung,894.6429773372715
GSM1835897,SMARCA4,TTC-549;Liver cell;Liver,893.535027418801
GSM2877305,RXRA,JMSU-1;cancer cells,892.838081548592
ENCSR646EFO_2,HES2,A549;Epithelium;Lung,892.3773205166142
GSM2042846,NR1H3,HT29;colorectal adenocarcinoma,892.2811830390851
ENCSR610RKF_2,EP300,A549;Epithelium;Lung,892.1196201232019
GSM1122847,FAIRE,Epithelium;Mammary Gland,891.8251320146795
GSM2278003,STAT3,MDA-MB-231;mDA,891.7983431477425
ENCSR419TWL_2,HES2,A549;Epithelium;Lung,891.4631160714732
GSM2635308,FOSL1,MNNG;Osteosarcoma cell,891.4256116064682
GSM991662,E2F7,IMR90;Fibroblast;Lung,890.1195522203892
GSM631470,FOXA1,MCF-7;Epithelium;Breast,888.4898025512741
GSM1917774,ATF3,HCT-116;Colon cancer cell;Colon,888.2219680193815
ENCSR561ZRE_1,EP300,A549;Epithelium;Lung,887.6487318647676
ENCSR646EFO_3,HES2,A549;Epithelium;Lung,887.593257189644
GSM2635314,FOSL1,MG-63;Osteosarcoma cell,887.0418185866955
GSM2151904,ATF3,Fibroblast;Skin,887.0059350063746
GSM2419826,RELA,Detroit 562;Detroit 562 cells,886.6672356290119
ENCSR951SNW_1,HES2,A549;Epithelium;Lung,886.274260335475
ENCSR841ASB_2,EP300,A549;Epithelium;Lung,885.5092765584358
GSM869307,FOXO3,DL23;Epithelium;Colon,884.8118235786953
GSM1240815,HNF4A,GP5d;Colon,884.5971040745939
ENCSR686BIE_1,HES2,A549;Epithelium;Lung,884.3497308319139
ENCSR610RKF_3,EP300,A549;Epithelium;Lung,884.1429813978262
ENCSR686BIE_3,HES2,A549;Epithelium;Lung,884.1125558115087
GSM525269,CREBBP,T98G;Brain,883.9500638135924
ENCSR951SNW_2,HES2,A549;Epithelium;Lung,883.2229872953342
GSM2042905,POLR2A,HT29;colorectal adenocarcinoma,882.9668899509114
GSM1919987,FOXA1,CFPAC-1;Pancreatic ductal,882.936998378957
GSM631469,FOXA1,MCF-7;Epithelium;Breast,882.9328180712462
GSM525270,EP300,T98G;Brain,882.2378807149723
ENCSR964KSS_3,HES2,A549;Epithelium;Lung,881.4341480171895
GSM1667157,YAP1,HuCCT1,880.9118501052761
ENCSR792VMN_1,EP300,A549;Epithelium;Lung,880.2596201725412
GSM1607392,DNMT3A,Keratinocyte;Foreskin,880.1890333157196
GSM986065,FOXA1,MCF-7;Epithelium;Breast,880.183336312909
GSM991663,E2F7,IMR90;Fibroblast;Lung,879.5924282927251
GSM791413,CDX2,LS180;Epithelium;Colon,878.9465681769086
GSM2394416,JUNB,JHU-06;Endothelial Cell,878.8178920574097
GSM958753,FOXA1,Huh7;Epithelium;Liver,878.6904476759175
GSM798438,FOXA1,MCF-7;Epithelium;Breast,878.0706566576588
ENCSR561ZRE_2,EP300,A549;Epithelium;Lung,878.0673774083441
GSM958754,FOXA1,Huh7;Epithelium;Liver,878.0316888586401
ENCSR690HWX_1,HES2,A549;Epithelium;Lung,877.6502017704856
GSM2278002,STAT3,MDA-MB-231;mDA,877.6375030096862
GSM2042900,POLR2A,HT29;colorectal adenocarcinoma,877.4924940212484
ENCSR145YCX_1,EP300,A549;Epithelium;Lung,877.2557007125897
GSM1242266,HNF4A,LoVo;Colon,876.7202250270227
GSM2409665,SMARCC1,G-401;Malignant rhabdoid tumor,876.5009170449762
ENCSR773NQB_1,NR3C1,A549;Epithelium;Lung,875.9483176831628
GSM991661,E2F7,IMR90;Fibroblast;Lung,875.8183834089967
ENCSR964KSS_1,HES2,A549;Epithelium;Lung,875.2283497357543
GSM2419827,RELA,Detroit 562;Detroit 562 cells,874.996702747069
GSM2523129,XCL1,C6661,874.9418686056723
ENCSR358ELZ_2,EP300,A549;Epithelium;Lung,874.6279408978654
GSM2401465,FOXA2,A549;Epithelium;Lung,874.3797285521284
GSM730703,FOS,Endothelial Cell;Umbilical Vein,874.2982342736943
GSM935438,FOS,MCF-10A;Epithelium;Breast,873.9000795311401
ENCSR124VXG_2,EP300,A549;Epithelium;Lung,873.7684289599401
ENCSR467VXG_2,EP300,A549;Epithelium;Lung,873.6338152342589
ENCSR841ASB_1,EP300,A549;Epithelium;Lung,873.3735444105396
GSM1240110,EP300,HCT-116;Colon,872.8779972745206
GSM2029581,EP300,ZR-75-30,872.8679328949102
GSM2409677,SMARCC1,TTC1240;Malignant rhabdoid tumor,872.3509394053949
ENCSR770OTI_2,EP300,A549;Epithelium;Lung,872.0042926034041
GSM1664955,TEAD1,MSTO,871.5771469392696
GSM1614037,JUN,MDA-MB-231;Epithelium;Breast,871.44078924314
GSM2977010,PRMT1,Keratinocyte,871.2165499646567
GSM1614036,JUN,MDA-MB-231;Epithelium;Breast,871.1751868636256
GSM986066,FOXA1,MCF-7;Epithelium;Breast,870.9725019759155
GSM958752,FOXA1,Huh7;Epithelium;Liver,870.9190079250886
GSM1617409,FOXA2,Caco-2;Epithelium;Colon,870.2580261293728
ENCSR770OTI_1,EP300,A549;Epithelium;Lung,870.12445355997
GSM1945031,FOXA1,Breast,867.8928489207816
GSM1246713,SMAD3,NCI-H441;Epithelium;Lung,867.8835992684922
