GSM_ID,Factor,Biosource,GIGGLE_score
GSM1700786,JUN,MDA-MB-231;Epithelium;Breast,1125.2939228771215
ENCSR260WCE_2,EP300,A549;Epithelium;Lung,1125.2765041335108
GSM798436,FOXA1,MCF-7;Epithelium;Breast,1119.0927163582753
GSM1246719,SMAD4,NCI-H441;Epithelium;Lung,1115.484642729253
GSM2218836,SMAD2/3,MCF-10A;Epithelium;Breast,1115.1831490571851
GSM1700785,JUN,MDA-MB-231;Epithelium;Breast,1114.5581129922907
GSM1010748,FOSL2,A549;Epithelium;Lung,1113.078169806409
GSM738817,ETV4,PC-3;Epithelium;Prostate,1111.7677761598368
GSM2042913,JUND,HT29;colorectal adenocarcinoma,1110.8788631311684
GSM1089819,MBD3,MDA-231;Epithelium;Mammary Gland,1109.3855291574673
GSM1084783,TEAD4,MKN28;Epithelium,1109.0210523209594
GSM798438,FOXA1,MCF-7;Epithelium;Breast,1108.7655910723347
GSM986065,FOXA1,MCF-7;Epithelium;Breast,1104.4722388794073
GSM1010892,JUND,MCF-7;Epithelium;Breast,1103.9576239739895
GSM935317,FOS,HeLa-S3;Epithelium;Cervix,1101.1082562079898
GSM1667157,YAP1,HuCCT1,1097.0916651923567
ENCSR260WCE_3,EP300,A549;Epithelium;Lung,1095.7603591811844
GSM2278010,STAT3,HCC1143,1095.745685333251
ENCSR358ELZ_2,EP300,A549;Epithelium;Lung,1091.9778160457436
GSM986066,FOXA1,MCF-7;Epithelium;Breast,1090.9734008254516
ENCSR770OTI_2,EP300,A549;Epithelium;Lung,1089.5344850986728
GSM2419823,RELA,Detroit 562;Detroit 562 cells,1088.9793908219985
GSM1945031,FOXA1,Breast,1088.372458127922
GSM1139033,TP63,KYSE-70;Epithelium,1087.6796115509412
GSM2576178,JUN,JHU-06;Endothelial Cell,1087.4161951608228
GSM935341,JUN,HeLa-S3;Epithelium;Cervix,1086.7849411409495
GSM1645718,EP300,Keratinocyte,1086.3334448922496
GSM2635314,FOSL1,MG-63;Osteosarcoma cell,1086.1196194172062
GSM1835992,SMARCC1,HCT-116;colorectal carcinoma derived cell line,1086.1089408891908
GSM2419822,RELA,Detroit 562;Detroit 562 cells,1084.8119515164592
GSM916523,FOXA1,LNCaP;Epithelium;Prostate,1084.3160117691052
ENCSR686BQM_3,EP300,A549;Epithelium;Lung,1084.198927236138
GSM2419820,RELA,Detroit 562;Detroit 562 cells,1083.6350679075238
GSM631474,FOXA1,MCF-7;Epithelium;Breast,1083.3751375414156
GSM631470,FOXA1,MCF-7;Epithelium;Breast,1079.8518932272566
GSM588929,FOXA1,MCF-7;Epithelium;Breast,1078.1094489364064
GSM631469,FOXA1,MCF-7;Epithelium;Breast,1077.1307386859758
GSM748524,FAIRE,NHEK;Keratinocyte;Skin,1075.4165538748277
GSM1664954,YAP1,MSTO,1072.9905257184437
GSM1139036,TP63,TT;Thyroid,1072.8123362767403
GSM798437,FOXA1,MCF-7;Epithelium;Breast,1072.6998526562725
GSM798439,FOXA1,MCF-7;Epithelium;Breast,1072.5686026751123
GSM1246714,SMAD3,NCI-H441;Epithelium;Lung,1071.9288676422598
GSM1366687,TP63,Keratinocyte;Foreskin,1071.8933074902895
GSM588930,FOXA1,MCF-7;Epithelium;Breast,1071.457517828192
ENCSR841ASB_3,EP300,A549;Epithelium;Lung,1071.3432174627771
ENCSR610RKF_2,EP300,A549;Epithelium;Lung,1071.1689428106708
GSM525268,CREBBP,T98G;Brain,1069.987678187264
GSM983105,FOXA1,NCI-H3122;Lung,1069.6778853019118
GSM1548072,EHF,Calu-3;Epithelium;Lung,1068.4469725057027
GSM1614029,YAP1,MDA-MB-231;Epithelium;Breast,1068.0868825405457
ENCSR260WCE_1,EP300,A549;Epithelium;Lung,1067.2903050188156
GSM1964895,PRMT5,MDA-MB-231;Epithelium;Breast,1066.8967499706473
ENCSR841ASB_2,EP300,A549;Epithelium;Lung,1066.3455872790944
GSM1125984,GRHL2,Epithelium;Bronchia,1066.2310158863725
GSM2409677,SMARCC1,TTC1240;Malignant rhabdoid tumor,1066.0752142001757
GSM2752894,STAT3,H358;Lung,1065.1162481354738
GSM2042843,NR1H2,HT29;colorectal adenocarcinoma,1064.5942767204187
GSM631471,FOXA1,MCF-7;Epithelium;Breast,1063.9676251711387
GSM1056847,TP63,EP156T;Epithelium;Prostate,1063.2211203564032
GSM1848883,JUN,BT-549;Breast,1063.187774395858
ENCSR047EVQ_1,EP300,A549;Epithelium;Lung,1062.651497984465
ENCSR124VXG_2,EP300,A549;Epithelium;Lung,1062.1556598802533
ENCSR467VXG_1,EP300,A549;Epithelium;Lung,1060.9630945944277
GSM2430679,FOXA2,M.M.;Fibroblast,1060.1128401109215
ENCSR561ZRE_1,EP300,A549;Epithelium;Lung,1060.0042162339528
ENCSR610RKF_3,EP300,A549;Epithelium;Lung,1059.6597620585028
ENCSR467VXG_3,EP300,A549;Epithelium;Lung,1059.3601463691537
ENCSR773NQB_1,NR3C1,A549;Epithelium;Lung,1059.2338073231983
ENCSR770OTI_3,EP300,A549;Epithelium;Lung,1059.1937859589052
GSM2797131,FOXA1,Breast,1058.5924929923806
GSM986088,EP300,MCF-7;Epithelium;Breast,1057.7201560114597
GSM1645719,EP300,Keratinocyte,1057.3054769146752
GSM2977506,FOXA2,BJ;Fibroblast;Skin,1056.2859670362552
ENCSR467VXG_2,EP300,A549;Epithelium;Lung,1055.3510480555908
GSM1678030,DAXX,PC-3;Epithelium;Prostate,1054.813755159988
ENCSR561ZRE_2,EP300,A549;Epithelium;Lung,1053.3512273187332
ENCSR770OTI_1,EP300,A549;Epithelium;Lung,1053.3214295993873
GSM2797083,FOXA1,Breast,1053.1355355197388
GSM2877305,RXRA,JMSU-1;cancer cells,1053.0571375210734
ENCSR610RKF_1,EP300,A549;Epithelium;Lung,1053.0288613851546
ENCSR979IOT_1,HES2,A549;Epithelium;Lung,1052.9467302736564
GSM2042860,PPARG,HT29;colorectal adenocarcinoma,1052.9449302623093
GSM1489261,TP63,HaCaT;Keratinocyte,1052.7804058358256
ENCSR145YCX_1,EP300,A549;Epithelium;Lung,1051.5645689191267
GSM2171832,FOXA1,MCF-7;asynchonous cells;Breast,1050.8914106970635
GSM1667162,TEAD4,HuCCT1,1050.8269595817417
GSM1139035,SOX2,TT;Thyroid,1050.298293963336
GSM1858627,FOXA1,MCF-7;Epithelium;Breast,1050.1756032569515
GSM525265,CREBBP,T98G;Brain,1050.1285975666665
GSM1678029,DAXX,PC-3;Epithelium;Prostate,1049.8397080477573
ENCSR145YCX_2,EP300,A549;Epithelium;Lung,1049.1939628340083
GSM1139039,TP63,HCC95;Epithelium;Lung,1048.5354921817736
GSM869307,FOXO3,DL23;Epithelium;Colon,1048.4260946924203
ENCSR561ZRE_3,EP300,A549;Epithelium;Lung,1047.9985273248662
ENCSR792VMN_1,EP300,A549;Epithelium;Lung,1047.3581661737928
GSM1122847,FAIRE,Epithelium;Mammary Gland,1047.0814085051418
GSM794862,TP63,Keratinocyte;Foreskin,1046.7509061388653
GSM1125983,GRHL2,Epithelium;Bronchia,1046.7424067737657
GSM545810,TP53,U2OS;Bone,1046.3145231077976
GSM2419827,RELA,Detroit 562;Detroit 562 cells,1044.3599733559736
GSM1489260,TP63,HaCaT;Keratinocyte,1043.3238859072405
ENCSR124VXG_1,EP300,A549;Epithelium;Lung,1042.953769681829
GSM986086,EP300,MCF-7;Epithelium;Breast,1042.39243306797
GSM1917770,ATF3,HCT-116;Colon cancer cell;Colon,1042.3728024275024
ENCSR124VXG_3,EP300,A549;Epithelium;Lung,1041.1673932510396
GSM2266286,EHF,Epithelium,1039.8364424354866
GSM2419831,RELA,Detroit 562;Detroit 562 cells,1039.7676153526377
GSM1489262,TP63,HaCaT;Keratinocyte,1039.1020687713287
GSM1614031,WWTR1,MDA-MB-231;Epithelium;Breast,1039.0287443665559
GSM929914,PGBD3,Fibroblast,1038.4230026358643
GSM545808,TP53,U2OS;Bone,1037.5961801280203
GSM525270,EP300,T98G;Brain,1037.0493074101953
GSM2171833,FOXA1,MCF-7;asynchonous cells;Breast,1036.1199834188074
GSM1010727,GATA3,A549;Epithelium;Lung,1035.8816970103178
ENCSR047EVQ_2,EP300,A549;Epithelium;Lung,1035.7507877800788
ENCSR841ASB_1,EP300,A549;Epithelium;Lung,1035.6183620063348
GSM1614030,WWTR1,MDA-MB-231;Epithelium;Breast,1035.2776672532168
GSM1240110,EP300,HCT-116;Colon,1034.835096014956
GSM934615,SMAD3,LX2;Hepatic Stellate Cell,1034.5613685053659
GSM2977010,PRMT1,Keratinocyte,1033.1907267597728
ENCSR796VBR_3,HES2,A549;Epithelium;Lung,1032.79482077785
GSM2042844,NR1H2,HT29;colorectal adenocarcinoma,1032.1195717448122
ENCSR419TWL_1,HES2,A549;Epithelium;Lung,1031.9212113751958
ENCSR792VMN_2,EP300,A549;Epithelium;Lung,1031.7467601066714
GSM1010775,BCL3,A549;Epithelium;Lung,1031.4827907277954
GSM2042858,PPARG,HT29;colorectal adenocarcinoma,1031.480320212409
ENCSR686PFM_2,NR3C1,A549;Epithelium;Lung,1031.4471929751792
GSM2171830,FOXA1,MCF-7;asynchonous cells;Breast,1031.2876767808277
GSM798434,ESR1,MCF-7;Epithelium;Breast,1031.0496621001612
GSM2171829,FOXA1,MCF-7;asynchonous cells;Breast,1030.590428776314
GSM2795973,SMAD2/3,BT-549;Breast,1030.5412562556758
ENCSR255CTA_1,NR3C1,A549;Epithelium;Lung,1030.3025609407312
GSM1164144,FOXA1,DU145;Epithelium;Prostate,1030.1005690293696
GSM798435,ESR1,MCF-7;Epithelium;Breast,1029.9246319345102
GSM2042856,PPARG,HT29;colorectal adenocarcinoma,1029.2794550127967
GSM1614037,JUN,MDA-MB-231;Epithelium;Breast,1029.236898487327
GSM1858629,FOXA1,MCF-7;Epithelium;Breast,1028.4884349156737
GSM1614036,JUN,MDA-MB-231;Epithelium;Breast,1027.9439585969124
GSM2537228,FOXA1,VCaP;Epithelium;Prostate,1027.9331741601197
GSM2797078,FOXA1,Breast,1027.390849749303
